has_paid,item_id,sold_for,amount,created_at
t,1,1000,7,2024-12-10 14:26:12.412216
t,1,1000,7,2024-12-10 14:33:08.563701
t,1,1000,7,2024-12-10 14:33:42.755717
t,1,1000,7,2024-12-16 13:56:04.467647
t,1,1000,7,2024-12-16 13:56:09.85877
t,1,1000,7,2024-12-16 13:56:20.772045
t,1,1000,7,2024-11-16 13:56:34.989411
t,1,1000,7,2024-11-16 13:56:09.85877
t,1,1000,7,2024-11-16 13:56:20.772045
t,1,1000,7,2024-11-16 13:56:34.989411
t,1,1000,7,2024-11-16 13:56:34.989411
t,1,1000,7,2024-11-16 13:56:34.989411
t,1,1000,7,2024-11-16 13:56:09.85877
t,1,1000,7,2024-11-16 13:56:20.772045
t,1,1000,7,2024-11-16 13:56:34.989411
t,1,1000,7,2024-11-16 13:56:09.85877
t,1,1000,7,2024-11-16 13:56:20.772045
t,1,1000,7,2024-10-16 13:56:34.989411
t,1,1000,7,2024-10-16 13:56:20.772045
t,1,1000,7,2024-10-16 13:56:34.989411
t,1,1000,7,2024-10-16 13:56:09.85877
t,1,1000,7,2024-10-16 13:56:20.772045
t,1,1000,7,2024-10-16 13:56:34.989411
t,1,1000,7,2024-10-16 13:56:20.772045
t,1,1000,7,2024-10-16 13:56:34.989411
t,1,1000,7,2024-10-16 13:56:20.772045
t,1,1000,7,2024-10-16 13:56:34.989411
t,1,1000,7,2024-9-16 13:56:09.85877
t,1,1000,7,2024-9-16 13:56:20.772045
t,5,1000,1,2024-9-16 13:56:34.989411
t,1,1000,7,2024-9-16 13:56:20.772045
t,1,1000,7,2024-9-16 13:56:34.989411
t,1,1000,7,2024-9-16 13:56:20.772045
t,1,1000,7,2024-9-16 13:56:34.989411
t,1,1000,7,2024-8-16 13:56:20.772045
t,1,1000,7,2024-8-16 13:56:34.989411
t,1,1000,7,2024-8-16 13:56:20.772045
t,1,1000,7,2024-8-16 13:56:34.989411
t,1,1000,7,2024-8-16 13:56:20.772045
t,1,1000,7,2024-7-10 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:20.772045
t,1,1000,7,2024-7-10 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:20.772045
t,2,1000,1,2024-7-10 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:20.772045
t,1,1000,7,2024-7-10 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:20.772045
t,1,1000,7,2024-7-10 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:20.772045
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:20.772045
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:20.772045
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:20.772045
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:20.772045
t,1,1000,4,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-16 13:56:20.772045
t,1,1000,7,2024-7-16 13:56:34.989411
t,1,1000,7,2024-7-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:20.772045
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:20.772045
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:20.772045
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:20.772045
t,3,1000,4,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-16 13:56:20.772045
t,1,1000,7,2024-6-16 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:20.772045
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-5-10 13:56:20.772045
t,1,1000,7,2024-5-10 13:56:34.989411
t,1,1000,7,2024-5-10 13:56:20.772045
t,1,1000,7,2024-5-10 13:56:34.989411
t,1,1000,7,2024-5-10 13:56:20.772045
t,1,1000,7,2024-5-16 13:56:34.989411
t,1,1000,7,2024-5-16 13:56:34.989411
t,1,1000,7,2024-5-16 13:56:20.772045
t,1,1000,7,2024-5-16 13:56:34.989411
t,4,1000,7,2024-5-16 13:56:20.772045
t,4,1000,7,2024-5-16 13:56:34.989411
t,4,1000,7,2024-5-16 13:56:20.772045
t,4,1000,7,2024-5-16 13:56:34.989411
t,4,1000,7,2024-5-16 13:56:20.772045
t,1,1000,7,2024-5-16 13:56:34.989411
t,1,1000,7,2024-5-16 13:56:20.772045
t,1,1000,7,2024-5-16 13:56:34.989411
t,1,1000,7,2024-6-10 13:56:34.989411
t,1,1000,7,2024-4-10 13:56:20.772045
t,1,1000,7,2024-4-10 13:56:34.989411
t,1,1000,7,2024-4-10 13:56:20.772045
t,1,1000,7,2024-4-10 13:56:34.989411
t,1,1000,7,2024-4-10 13:56:20.772045
t,1,1000,7,2024-4-16 13:56:34.989411
t,1,1000,7,2024-4-16 13:56:34.989411
t,1,1000,7,2024-4-16 13:56:20.772045
t,1,1000,7,2024-4-16 13:56:34.989411
t,1,1000,7,2024-4-16 13:56:20.772045
t,1,1000,7,2024-4-16 13:56:34.989411
t,1,1000,7,2024-4-16 13:56:20.772045
t,1,1000,7,2024-4-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-10 13:56:20.772045
t,1,1000,7,2024-3-10 13:56:34.989411
t,1,1000,7,2024-3-10 13:56:20.772045
t,1,1000,7,2024-3-10 13:56:34.989411
t,1,1000,7,2024-3-10 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,5,1000,7,2024-3-10 13:56:20.772045
t,5,1000,7,2024-3-10 13:56:34.989411
t,5,1000,7,2024-3-10 13:56:20.772045
t,5,1000,7,2024-3-10 13:56:34.989411
t,5,1000,7,2024-3-10 13:56:20.772045
t,5,1000,7,2024-3-16 13:56:34.989411
t,5,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-3-16 13:56:20.772045
t,1,1000,7,2024-3-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-10 13:56:20.772045
t,1,1000,7,2024-2-10 13:56:34.989411
t,1,1000,7,2024-2-10 13:56:20.772045
t,1,1000,7,2024-2-10 13:56:34.989411
t,1,1000,7,2024-2-10 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-16 13:56:20.772045
t,1,1000,7,2024-2-16 13:56:34.989411
t,1,1000,7,2024-2-10 13:56:20.772045
t,1,1000,7,2024-1-10 13:56:34.989411
t,1,1000,7,2024-1-10 13:56:20.772045
t,1,1000,7,2024-1-10 13:56:34.989411
t,1,1000,7,2024-1-10 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
t,1,1000,7,2024-1-16 13:56:20.772045
t,1,1000,7,2024-1-16 13:56:34.989411
